,tp,tn,fp,fn,f1,mcc,ground_pairs,pred_pairs
0,62.0,9995.0,80.0,16.0,0.5636363636363636,0.5850914773861748,78,142
1,48.0,6642.0,68.0,28.0,0.5,0.5045203826413032,76,116
2,68.0,8899.0,66.0,12.0,0.6355140186915889,0.6530487143207476,80,134
3,22.0,7978.0,106.0,22.0,0.2558139534883721,0.28695797387925065,44,128
4,68.0,7130.0,50.0,12.0,0.686868686868687,0.6959892291667882,80,118
5,66.0,6660.0,50.0,10.0,0.6875000000000001,0.6989786413972666,76,116
6,66.0,6895.0,52.0,8.0,0.6874999999999999,0.7025974458492824,74,118
7,2.0,2605.0,70.0,24.0,0.04081632653061225,0.030765543873653944,26,72
8,0.0,3975.0,90.0,30.0,0.0,-0.01287805711560421,30,90
9,20.0,8331.0,110.0,54.0,0.19607843137254902,0.19472683425951764,74,130
10,0.0,594.0,36.0,0.0,0.0,0.0,0,36
11,62.0,7247.0,60.0,12.0,0.6326530612244898,0.6482607591536227,74,122
12,14.0,6960.0,106.0,60.0,0.1443298969072165,0.13723382443597532,74,120
13,42.0,2554.0,30.0,2.0,0.7241379310344828,0.741153098054398,44,72
14,42.0,2625.0,32.0,2.0,0.711864406779661,0.7309007470533284,44,74
15,24.0,2830.0,52.0,20.0,0.39999999999999997,0.40354661784425466,44,76
16,40.0,2921.0,38.0,4.0,0.6557377049180326,0.6770443821605182,44,78
17,40.0,2999.0,38.0,4.0,0.6557377049180326,0.6771924643647739,44,78
18,38.0,2480.0,32.0,6.0,0.6666666666666666,0.678131356542148,44,70
19,24.0,2681.0,50.0,20.0,0.4067796610169491,0.4087334152734189,44,74
20,16.0,2748.0,58.0,28.0,0.27118644067796616,0.2658863967883682,44,74
21,34.0,2766.0,40.0,10.0,0.576271186440678,0.5880092986219995,44,74
22,0.0,2049.0,66.0,30.0,0.0,-0.02122023380264101,30,66
23,36.0,2619.0,38.0,8.0,0.6101694915254238,0.6234009058144574,44,74
24,28.0,2468.0,44.0,16.0,0.4827586206896552,0.4864944632620079,44,72
25,26.0,2756.0,50.0,18.0,0.43333333333333335,0.4385640988536167,44,76
26,40.0,2770.0,36.0,4.0,0.6666666666666666,0.6858746809139269,44,76
27,32.0,2615.0,42.0,12.0,0.5423728813559323,0.5517343449885435,44,74
28,40.0,2999.0,38.0,4.0,0.6557377049180326,0.6771924643647739,44,78
29,42.0,3001.0,36.0,2.0,0.6885245901639344,0.7120220247064517,44,78
30,34.0,2474.0,38.0,10.0,0.5862068965517242,0.5955716429197002,44,72
31,44.0,2486.0,26.0,0.0,0.7719298245614035,0.7887112995917649,44,70
32,40.0,2770.0,36.0,4.0,0.6666666666666666,0.6858746809139269,44,76
33,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
34,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
35,24.0,2905.0,54.0,20.0,0.3934426229508197,0.39826140127089305,44,78
36,26.0,2758.0,48.0,18.0,0.4406779661016949,0.4448435644737189,44,74
37,28.0,2987.0,50.0,16.0,0.459016393442623,0.4682151023147069,44,78
38,30.0,2613.0,44.0,14.0,0.5084745762711864,0.5159010645755865,44,74
39,36.0,2695.0,36.0,8.0,0.6206896551724137,0.6325483217527158,44,72
40,12.0,2895.0,64.0,32.0,0.19999999999999998,0.1920987381367621,44,76
41,42.0,3080.0,36.0,2.0,0.6885245901639344,0.7121468144823685,44,78
42,40.0,2846.0,36.0,4.0,0.6666666666666666,0.6860292503352329,44,76
43,32.0,3227.0,50.0,12.0,0.5079365079365079,0.5246156259406857,44,82
44,34.0,3150.0,46.0,10.0,0.5483870967741935,0.5655902028876288,44,80
45,38.0,2480.0,32.0,6.0,0.6666666666666666,0.678131356542148,44,70
46,22.0,2981.0,56.0,22.0,0.36065573770491804,0.3637264212896735,44,78
47,34.0,2617.0,40.0,10.0,0.576271186440678,0.5875676254015004,44,74
48,18.0,2824.0,58.0,26.0,0.3,0.2976156306601378,44,76
49,32.0,2544.0,40.0,12.0,0.5517241379310345,0.559473527342608,44,72
50,32.0,3068.0,48.0,12.0,0.5161290322580645,0.5310120827059088,44,80
51,26.0,2832.0,50.0,18.0,0.43333333333333335,0.43885694690562693,44,76
52,42.0,2482.0,30.0,2.0,0.7241379310344828,0.7410078824632899,44,72
53,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
54,20.0,2460.0,52.0,24.0,0.3448275862068966,0.34105822371841815,44,72
55,32.0,2762.0,44.0,12.0,0.5333333333333333,0.5445543483080354,44,76
56,30.0,2913.0,48.0,12.0,0.5,0.5153896366258941,42,78
57,24.0,2830.0,52.0,20.0,0.39999999999999997,0.40354661784425466,44,76
58,14.0,3456.0,70.0,30.0,0.21874999999999997,0.21715011228782846,44,84
59,24.0,2681.0,50.0,20.0,0.4067796610169491,0.4087334152734189,44,74
60,38.0,2770.0,36.0,6.0,0.6440677966101694,0.6595921656961398,44,74
61,42.0,2923.0,36.0,2.0,0.6885245901639344,0.7118922547717212,44,78
62,22.0,2828.0,54.0,22.0,0.3666666666666667,0.36823628878288234,44,76
63,34.0,2691.0,40.0,10.0,0.576271186440678,0.5877930306093209,44,74
64,42.0,3001.0,36.0,2.0,0.6885245901639344,0.7120220247064517,44,78
65,32.0,2991.0,46.0,12.0,0.5245901639344261,0.5378742229980626,44,78
66,36.0,2548.0,36.0,8.0,0.6206896551724137,0.632145355627324,44,72
67,26.0,2756.0,50.0,18.0,0.43333333333333335,0.4385640988536167,44,76
68,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
69,22.0,2828.0,54.0,22.0,0.3666666666666667,0.36823628878288234,44,76
70,26.0,2832.0,50.0,18.0,0.43333333333333335,0.43885694690562693,44,76
71,24.0,3060.0,56.0,20.0,0.3870967741935483,0.39347124816896856,44,80
72,40.0,2848.0,34.0,4.0,0.6779661016949153,0.6955322150963577,44,74
73,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
74,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
75,40.0,2697.0,34.0,4.0,0.6779661016949153,0.695228799810862,44,74
76,40.0,3158.0,38.0,4.0,0.6557377049180326,0.677471860461976,44,78
77,42.0,2776.0,30.0,2.0,0.7241379310344828,0.74155379134796,44,72
78,28.0,2909.0,50.0,16.0,0.459016393442623,0.46795714649329934,44,78
79,32.0,2544.0,40.0,12.0,0.5517241379310345,0.559473527342608,44,72
80,42.0,2482.0,30.0,2.0,0.7241379310344828,0.7410078824632899,44,72
81,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
82,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
83,42.0,2848.0,34.0,2.0,0.7000000000000001,0.7213395793966052,44,76
84,42.0,3078.0,38.0,2.0,0.6774193548387099,0.7029381258770843,44,80
85,40.0,3319.0,40.0,4.0,0.6451612903225806,0.6689628797641155,44,80
86,32.0,2615.0,42.0,12.0,0.5423728813559323,0.5517343449885435,44,74
87,42.0,2774.0,32.0,2.0,0.711864406779661,0.7311750327702801,44,74
88,28.0,2758.0,48.0,16.0,0.4666666666666667,0.4738941820050896,44,76
89,32.0,2546.0,38.0,12.0,0.5614035087719298,0.5678046096751537,44,70
90,32.0,2838.0,44.0,12.0,0.5333333333333333,0.5447879340897438,44,76
91,148.0,63126.0,208.0,64.0,0.5211267605633803,0.5368032896965523,212,356
92,98.0,64170.0,262.0,90.0,0.3576642335766423,0.37426160801013325,188,360
93,82.0,34670.0,182.0,46.0,0.41836734693877553,0.4433035806465114,128,264
94,2.0,25758.0,226.0,120.0,0.011428571428571427,0.005640958800419569,122,228
95,16.0,23355.0,202.0,80.0,0.10191082802547771,0.10518262580152613,96,218
96,146.0,94726.0,290.0,104.0,0.42565597667638483,0.44034130909947256,250,436
97,64.0,7727.0,62.0,22.0,0.6037735849056604,0.6098080959969988,86,126
98,54.0,46880.0,252.0,92.0,0.23893805309734514,0.25221511480277437,146,306
99,4.0,5728.0,104.0,50.0,0.04938271604938271,0.0399540969833558,54,108
100,10.0,6512.0,104.0,44.0,0.11904761904761904,0.11716680410887932,54,114
101,0.0,4934.0,100.0,16.0,0.0,-0.008013104126976402,16,100
102,12.0,4560.0,84.0,0.0,0.2222222222222222,0.35034128801478037,12,96
103,82.0,18906.0,114.0,8.0,0.5734265734265734,0.6150518180435108,90,196
104,16.0,3655.0,70.0,0.0,0.3137254901960785,0.42725909653332106,16,86
105,88.0,19305.0,108.0,2.0,0.6153846153846154,0.6606086256265328,90,196
106,6.0,4005.0,84.0,0.0,0.125,0.25553304808715094,6,90
107,8.0,4090.0,84.0,4.0,0.15384615384615383,0.23577394628889417,12,92
108,12.0,2627.0,62.0,0.0,0.27906976744186046,0.39802412697305045,12,74
109,6.0,3239.0,76.0,0.0,0.13636363636363635,0.267382147253109,6,82
110,0.0,1885.0,62.0,6.0,0.0,-0.010051774329323535,6,62
111,64.0,18310.0,128.0,26.0,0.45390070921985815,0.4834505984736416,90,192
112,40.0,16977.0,146.0,42.0,0.29850746268656714,0.3191987345642325,82,186
113,64.0,17366.0,122.0,26.0,0.463768115942029,0.49115205016433167,90,186
114,48.0,24044.0,172.0,46.0,0.3057324840764331,0.3300012104933592,94,220
115,58.0,26301.0,170.0,36.0,0.36024844720496896,0.3930562658203965,94,228
116,86.0,27722.0,150.0,8.0,0.5212121212121211,0.575473632386091,94,236
117,64.0,31596.0,188.0,30.0,0.3699421965317919,0.4132458313740666,94,252
118,34.0,26510.0,196.0,56.0,0.2125,0.23233514650553827,90,230
119,28.0,27664.0,208.0,66.0,0.1696969696969697,0.1837503209678872,94,236
120,14.0,23365.0,202.0,72.0,0.09271523178807947,0.0975803727772564,86,216
121,26.0,13984.0,142.0,44.0,0.21848739495798322,0.2340807127683748,70,168
122,32.0,3388.0,52.0,14.0,0.4923076923076923,0.5064101205802142,46,84
123,32.0,3557.0,52.0,14.0,0.4923076923076923,0.5068043338159501,46,84
124,68.0,17933.0,122.0,22.0,0.48571428571428577,0.5167915665954472,90,190
125,24.0,3551.0,62.0,18.0,0.37499999999999994,0.38972312873381715,42,86
126,30.0,3148.0,50.0,12.0,0.4918032786885245,0.5092553373430451,42,80
127,40.0,2848.0,36.0,2.0,0.6779661016949152,0.7028682184238625,42,76
128,40.0,2482.0,30.0,4.0,0.7017543859649122,0.7149913375586869,44,70
129,48.0,3909.0,40.0,8.0,0.6666666666666665,0.6784375838182863,56,88
130,48.0,3740.0,40.0,0.0,0.7058823529411764,0.734630886692453,48,88
131,38.0,3160.0,42.0,0.0,0.6440677966101694,0.6846674514321485,38,80
132,70.0,8512.0,62.0,2.0,0.6862745098039216,0.7151999713648098,72,132
133,10.0,2278.0,58.0,0.0,0.25641025641025644,0.3786918724326881,10,68
134,0.0,2554.0,72.0,2.0,0.0,-0.004631839056171422,2,72
135,38.0,9983.0,104.0,28.0,0.36538461538461536,0.3869565399378273,66,142
136,10.0,2411.0,60.0,4.0,0.23809523809523808,0.3121364170687143,14,70
137,0.0,3072.0,80.0,8.0,0.0,-0.008119354887670824,8,80
